Date,Region,NewCases,NewDeaths,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
29/06/2021,Jakarta,7379,80,-32,2,-54,-47,-43,16
30/06/2021,Jakarta,7680,71,-31,4,-54,-48,-43,15
01/07/2021,Jakarta,7541,46,-30,8,-51,-47,-43,17
02/07/2021,Jakarta,9399,30,-26,12,-47,-47,-41,18
03/07/2021,Jakarta,9702,40,-45,0,-63,-50,-34,16
04/07/2021,Jakarta,10485,76,-49,-7,-70,-52,-29,16
05/07/2021,Jakarta,10903,120,-40,0,-56,-54,-50,20
06/07/2021,Jakarta,9439,137,-43,-4,-58,-55,-51,21
07/07/2021,Jakarta,9366,142,-43,-5,-58,-56,-51,21
08/07/2021,Jakarta,12974,130,-43,-6,-56,-57,-51,21
09/07/2021,Jakarta,13112,138,-43,-5,-54,-58,-50,23
10/07/2021,Jakarta,12920,90,-49,-7,-65,-54,-36,17
11/07/2021,Jakarta,13133,54,-51,-14,-72,-55,-29,17
12/07/2021,Jakarta,14619,123,-43,-8,-56,-60,-51,21
13/07/2021,Jakarta,12182,80,-46,-12,-59,-60,-53,22
14/07/2021,Jakarta,12667,63,-45,-12,-59,-60,-51,22
15/07/2021,Jakarta,12691,141,-44,-10,-57,-60,-51,21
16/07/2021,Jakarta,12415,132,-43,-9,-55,-60,-49,23
17/07/2021,Jakarta,10168,67,-48,-8,-64,-55,-34,16
18/07/2021,Jakarta,9128,158,-50,-14,-71,-57,-26,16
19/07/2021,Jakarta,5000,250,-40,-2,-53,-57,-52,20
20/07/2021,Jakarta,6213,268,-55,-24,-65,-72,-79,28
21/07/2021,Jakarta,5904,95,-44,-9,-59,-58,-49,19
22/07/2021,Jakarta,7058,194,-43,-10,-56,-59,-48,19
23/07/2021,Jakarta,8033,157,-43,-10,-56,-59,-47,22
24/07/2021,Jakarta,8360,151,-47,-9,-63,-54,-32,15
25/07/2021,Jakarta,5393,157,-46,-9,-69,-54,-23,14
26/07/2021,Jakarta,2662,160,-38,-5,-54,-55,-44,18
27/07/2021,Jakarta,3567,184,-40,-7,-56,-56,-46,19
28/07/2021,Jakarta,5525,69,-38,-6,-55,-55,-44,18
29/07/2021,Jakarta,3845,27,-37,-5,-53,-55,-43,18
30/07/2021,Jakarta,3454,43,-35,0,-49,-54,-42,19
31/07/2021,Jakarta,3327,251,-39,1,-59,-49,-26,12
01/08/2021,Jakarta,2701,71,-42,-5,-67,-51,-22,12
02/08/2021,Jakarta,1410,154,-32,2,-51,-51,-41,16
03/08/2021,Jakarta,1601,70,-34,-1,-53,-51,-42,16
04/08/2021,Jakarta,2981,63,-34,-2,-52,-51,-41,16
05/08/2021,Jakarta,2311,126,-37,-6,-55,-51,-41,17
06/08/2021,Jakarta,2186,53,-31,2,-45,-51,-39,17
07/08/2021,Jakarta,2008,68,-36,2,-56,-46,-25,11
08/08/2021,Jakarta,1649,20,-39,-5,-63,-49,-19,10
09/08/2021,Jakarta,727,14,-32,-2,-50,-50,-40,15
10/08/2021,Jakarta,1425,40,-35,-6,-55,-51,-42,16
11/08/2021,Jakarta,1957,42,-34,-5,-51,-60,-67,22
12/08/2021,Jakarta,1078,42,-30,-3,-50,-48,-37,14
13/08/2021,Jakarta,1210,68,-29,-1,-45,-48,-36,16
14/08/2021,Jakarta,1363,29,-33,0,-54,-43,-20,10
15/08/2021,Jakarta,1182,17,-36,-6,-60,-46,-16,10
16/08/2021,Jakarta,513,28,-27,0,-47,-47,-39,14
17/08/2021,Jakarta,655,24,-37,-13,-48,-61,-73,22
18/08/2021,Jakarta,1029,13,-32,-6,-51,-47,-36,14
19/08/2021,Jakarta,731,34,-31,-6,-49,-49,-36,14
20/08/2021,Jakarta,968,11,-28,-2,-44,-48,-34,15
21/08/2021,Jakarta,891,13,-31,-1,-52,-43,-19,10
22/08/2021,Jakarta,702,28,-34,-7,-57,-45,-14,9
23/08/2021,Jakarta,485,20,-28,-4,-47,-47,-35,14
24/08/2021,Jakarta,484,10,-30,-6,-50,-47,-37,14
25/08/2021,Jakarta,789,9,-26,0,-48,-45,-35,13
26/08/2021,Jakarta,577,10,-25,0,-45,-45,-35,13
27/08/2021,Jakarta,635,9,-22,3,-41,-45,-33,14
28/08/2021,Jakarta,468,10,-25,6,-46,-39,-18,7
29/08/2021,Jakarta,474,6,-29,-2,-54,-42,-14,7
30/08/2021,Jakarta,341,5,-23,2,-45,-43,-34,12
31/08/2021,Jakarta,399,29,-24,5,-47,-43,-35,12
01/09/2021,Jakarta,673,12,-21,8,-45,-41,-34,12
02/09/2021,Jakarta,430,9,-20,7,-43,-42,-34,12
03/09/2021,Jakarta,343,11,-18,8,-37,-41,-32,13
04/09/2021,Jakarta,360,10,-21,9,-39,-35,-19,6
05/09/2021,Jakarta,303,11,-24,3,-46,-38,-14,6
06/09/2021,Jakarta,217,16,-21,4,-42,-41,-34,12
07/09/2021,Jakarta,262,13,-24,-1,-46,-40,-35,13
08/09/2021,Jakarta,428,14,-24,-3,-46,-40,-34,12
09/09/2021,Jakarta,308,13,-20,4,-41,-39,-33,11
10/09/2021,Jakarta,261,12,-17,6,-36,-39,-31,12
11/09/2021,Jakarta,268,20,-21,6,-40,-33,-18,6
12/09/2021,Jakarta,306,6,-25,0,-46,-36,-13,6
13/09/2021,Jakarta,187,6,-21,1,-45,-39,-34,12
14/09/2021,Jakarta,190,3,-28,-8,-55,-44,-38,15
15/09/2021,Jakarta,305,10,-20,3,-43,-38,-34,11
16/09/2021,Jakarta,176,9,-20,3,-41,-39,-34,11
17/09/2021,Jakarta,206,5,-16,5,-35,-38,-32,12
18/09/2021,Jakarta,200,6,-20,6,-37,-32,-18,6
19/09/2021,Jakarta,155,4,-28,-5,-50,-36,-15,7
20/09/2021,Jakarta,91,3,-20,4,-42,-38,-33,11
21/09/2021,Jakarta,106,4,-22,-1,-44,-38,-34,12
21/03/2020,West Java,14,0,-25,-5,-27,-37,-10,9
22/03/2020,West Java,4,2,-36,-16,-39,-44,-7,11
23/03/2020,West Java,0,0,-27,-13,-22,-41,-29,14
24/03/2020,West Java,1,1,-31,-13,-26,-43,-33,15
25/03/2020,West Java,13,0,-34,-15,-26,-50,-60,23
26/03/2020,West Java,5,1,-32,-13,-27,-45,-34,16
27/03/2020,West Java,20,3,-33,-12,-27,-50,-34,18
28/03/2020,West Java,21,3,-42,-18,-42,-52,-22,15
29/03/2020,West Java,30,2,-50,-30,-51,-55,-16,16
30/03/2020,West Java,25,1,-37,-20,-32,-50,-36,17
31/03/2020,West Java,16,1,-34,-13,-28,-49,-37,17
01/04/2020,West Java,21,0,-28,-5,-22,-47,-37,16
02/04/2020,West Java,15,4,-30,-9,-24,-49,-37,17
03/04/2020,West Java,2,0,-33,-16,-28,-54,-36,18
04/04/2020,West Java,24,1,-43,-24,-45,-58,-26,16
05/04/2020,West Java,5,0,-46,-25,-47,-58,-17,15
06/04/2020,West Java,11,1,-34,-20,-29,-53,-37,17
07/04/2020,West Java,80,0,-32,-15,-28,-50,-37,17
08/04/2020,West Java,22,6,-31,-15,-26,-49,-37,17
09/04/2020,West Java,11,5,-30,-11,-25,-46,-37,17
10/04/2020,West Java,12,0,-41,-25,-32,-64,-62,27
11/04/2020,West Java,32,0,-43,-23,-42,-60,-31,18
12/04/2020,West Java,29,3,-48,-28,-47,-61,-17,16
13/04/2020,West Java,60,9,-33,-18,-27,-54,-37,19
14/04/2020,West Java,0,0,-33,-18,-28,-53,-38,18
15/04/2020,West Java,29,0,-35,-20,-26,-55,-39,19
16/04/2020,West Java,11,1,-33,-17,-24,-54,-39,19
17/04/2020,West Java,58,3,-38,-25,-31,-60,-39,21
18/04/2020,West Java,9,0,-45,-26,-44,-60,-25,16
19/04/2020,West Java,55,3,-47,-27,-47,-61,-14,15
20/04/2020,West Java,25,3,-33,-18,-27,-55,-37,18
21/04/2020,West Java,9,6,-35,-19,-31,-54,-40,18
22/04/2020,West Java,6,3,-34,-15,-26,-50,-40,18
23/04/2020,West Java,22,3,-30,-5,-24,-45,-41,17
24/04/2020,West Java,75,3,-50,-29,-44,-66,-48,26
25/04/2020,West Java,45,0,-52,-29,-52,-66,-32,21
26/04/2020,West Java,5,0,-56,-37,-59,-68,-20,20
27/04/2020,West Java,39,1,-44,-30,-40,-61,-40,22
28/04/2020,West Java,19,1,-45,-29,-41,-60,-41,21
29/04/2020,West Java,40,0,-39,-20,-34,-57,-40,20
30/04/2020,West Java,3,4,-38,-16,-33,-55,-40,20
01/05/2020,West Java,0,0,-42,-19,-39,-66,-63,28
02/05/2020,West Java,31,1,-46,-23,-48,-62,-30,19
03/05/2020,West Java,10,1,-51,-29,-54,-65,-15,18
04/05/2020,West Java,193,1,-38,-21,-34,-58,-38,20
05/05/2020,West Java,48,1,-36,-16,-33,-55,-39,20
06/05/2020,West Java,20,3,-40,-20,-35,-55,-40,21
07/05/2020,West Java,61,0,-59,-11,-31,-56,-60,26
08/05/2020,West Java,23,2,-60,-15,-34,-57,-39,22
09/05/2020,West Java,33,3,-64,-19,-47,-57,-27,19
10/05/2020,West Java,0,0,-68,-26,-55,-60,-14,18
11/05/2020,West Java,56,0,-58,-13,-32,-52,-37,20
12/05/2020,West Java,52,3,-58,-12,-32,-50,-39,20
13/05/2020,West Java,7,0,-55,-6,-26,-48,-38,19
14/05/2020,West Java,9,1,-50,0,-20,-45,-37,18
15/05/2020,West Java,31,1,-49,0,-20,-48,-36,19
16/05/2020,West Java,22,0,-53,-2,-34,-47,-22,16
17/05/2020,West Java,31,10,-56,-8,-42,-49,-8,16
18/05/2020,West Java,25,13,-52,-10,-25,-47,-37,20
19/05/2020,West Java,21,1,-43,14,-10,-37,-37,18
20/05/2020,West Java,176,0,-40,9,-12,-36,-38,18
21/05/2020,West Java,86,0,-30,34,5,-30,-60,21
22/05/2020,West Java,40,1,-37,21,-2,-38,-52,22
23/05/2020,West Java,43,2,-49,11,-19,-40,-41,17
24/05/2020,West Java,46,1,-60,-23,-33,-53,-25,7
25/05/2020,West Java,22,0,-48,-8,-1,-50,-72,21
26/05/2020,West Java,17,9,-43,1,-3,-43,-51,18
27/05/2020,West Java,27,5,-44,-3,-8,-44,-45,19
28/05/2020,West Java,25,0,-39,9,-3,-41,-41,18
29/05/2020,West Java,32,0,-48,-8,-20,-51,-39,21
30/05/2020,West Java,20,2,-47,-2,-23,-46,-23,14
31/05/2020,West Java,30,0,-48,-5,-24,-45,-5,12
01/06/2020,West Java,34,0,-37,5,5,-44,-59,22
02/06/2020,West Java,18,7,-40,3,-9,-39,-30,15
03/06/2020,West Java,5,3,-38,5,-6,-38,-30,16
04/06/2020,West Java,9,1,-38,7,-6,-37,-30,16
05/06/2020,West Java,12,3,-39,0,-14,-44,-28,17
06/06/2020,West Java,10,0,-41,-1,-20,-42,-15,13
07/06/2020,West Java,28,0,-42,-3,-19,-42,-3,12
08/06/2020,West Java,20,3,-36,0,-10,-37,-26,15
09/06/2020,West Java,25,0,-37,0,-12,-36,-27,15
10/06/2020,West Java,50,0,-34,4,-6,-33,-27,15
11/06/2020,West Java,44,0,-32,5,-8,-35,-27,15
12/06/2020,West Java,19,0,-34,0,-11,-40,-26,16
13/06/2020,West Java,15,0,-36,0,-13,-37,-14,12
14/06/2020,West Java,17,0,-36,-1,-10,-35,0,10
15/06/2020,West Java,19,1,-32,1,-7,-34,-25,14
16/06/2020,West Java,40,0,-32,2,-8,-32,-26,14
17/06/2020,West Java,41,7,-30,4,-4,-30,-26,13
18/06/2020,West Java,52,2,-30,4,-8,-32,-26,13
19/06/2020,West Java,45,0,-32,-2,-13,-37,-25,15
20/06/2020,West Java,18,0,-33,1,-11,-35,-12,10
21/06/2020,West Java,20,0,-35,-3,-9,-34,0,10
22/06/2020,West Java,17,0,-32,-3,-9,-33,-27,14
23/06/2020,West Java,31,0,-30,1,-8,-31,-27,14
24/06/2020,West Java,41,0,-30,0,-5,-30,-26,13
25/06/2020,West Java,32,2,-28,7,-5,-29,-26,13
26/06/2020,West Java,33,2,-31,1,-9,-34,-25,14
27/06/2020,West Java,46,0,-30,5,-6,-29,-14,10
28/06/2020,West Java,25,0,-31,1,-3,-29,0,9
29/06/2020,West Java,45,0,-28,3,-3,-30,-25,13
30/06/2020,West Java,81,1,-23,9,-2,-29,-25,12
01/07/2020,West Java,54,1,-21,12,2,-26,-25,12
02/07/2020,West Java,64,0,-25,8,-6,-27,-26,13
03/07/2020,West Java,28,0,-24,6,-2,-29,-24,14
04/07/2020,West Java,88,0,-23,10,4,-26,-14,9
05/07/2020,West Java,106,0,-24,8,8,-23,-1,8
06/07/2020,West Java,126,1,-24,4,-2,-27,-26,13
07/07/2020,West Java,79,2,-21,10,2,-24,-25,12
08/07/2020,West Java,96,2,-22,6,3,-24,-24,12
09/07/2020,West Java,962,4,-21,11,3,-23,-24,12
10/07/2020,West Java,105,0,-24,5,-2,-29,-23,13
11/07/2020,West Java,73,0,-24,7,2,-25,-11,9
12/07/2020,West Java,50,0,-26,5,2,-25,1,9
13/07/2020,West Java,83,0,-24,4,-3,-28,-23,12
14/07/2020,West Java,74,0,-26,2,-5,-29,-24,13
15/07/2020,West Java,75,1,-23,3,-4,-28,-23,13
16/07/2020,West Java,40,0,-22,7,-4,-28,-23,13
17/07/2020,West Java,52,1,-24,1,-5,-33,-22,14
18/07/2020,West Java,60,2,-24,4,-3,-31,-11,10
19/07/2020,West Java,27,0,-27,1,-4,-31,2,9
20/07/2020,West Java,60,0,-24,2,-5,-31,-23,13
21/07/2020,West Java,61,4,-26,0,-8,-31,-24,14
22/07/2020,West Java,32,2,-23,2,-4,-29,-23,14
23/07/2020,West Java,60,1,-24,4,-6,-29,-23,14
24/07/2020,West Java,91,0,-24,2,-3,-32,-22,14
25/07/2020,West Java,73,0,-23,6,-1,-28,-11,10
26/07/2020,West Java,51,0,-25,3,-3,-28,2,9
27/07/2020,West Java,45,0,-23,3,-2,-28,-23,13
28/07/2020,West Java,128,0,-22,7,-3,-25,-24,13
29/07/2020,West Java,96,2,-18,12,3,-18,-24,13
30/07/2020,West Java,147,2,-8,35,18,2,-27,10
31/07/2020,West Java,71,0,-26,0,21,-31,-64,20
01/08/2020,West Java,52,0,-23,8,18,-28,-25,10
02/08/2020,West Java,53,0,-22,9,9,-12,-4,6
03/08/2020,West Java,56,0,-17,10,9,-16,-25,12
04/08/2020,West Java,94,6,-20,9,3,-22,-25,13
05/08/2020,West Java,125,0,-17,11,7,-22,-24,12
06/08/2020,West Java,83,1,-16,13,6,-22,-24,12
07/08/2020,West Java,152,4,-19,6,3,-27,-23,12
08/08/2020,West Java,240,3,-19,9,6,-22,-12,8
09/08/2020,West Java,179,4,-21,6,3,-23,1,8
10/08/2020,West Java,33,0,-17,9,6,-25,-23,12
11/08/2020,West Java,95,4,-20,6,1,-26,-24,12
12/08/2020,West Java,109,1,-15,9,8,-23,-23,12
13/08/2020,West Java,111,1,-20,5,-1,-25,-24,13
14/08/2020,West Java,361,1,-18,6,0,-25,-23,13
15/08/2020,West Java,237,0,-17,10,8,-15,-11,8
16/08/2020,West Java,83,2,-17,8,22,-17,0,7
17/08/2020,West Java,45,1,-12,6,50,-25,-61,19
18/08/2020,West Java,45,0,-20,6,4,-22,-23,11
19/08/2020,West Java,104,4,-14,12,14,-15,-23,10
20/08/2020,West Java,199,2,-9,14,41,-18,-55,18
21/08/2020,West Java,93,8,-16,5,25,-32,-37,16
22/08/2020,West Java,134,6,-22,0,14,-27,-12,10
23/08/2020,West Java,68,1,-26,-3,2,-24,2,9
24/08/2020,West Java,137,3,-20,1,2,-27,-21,12
25/08/2020,West Java,250,1,-19,7,2,-27,-22,12
26/08/2020,West Java,178,0,-17,7,6,-26,-21,12
27/08/2020,West Java,154,0,-15,12,7,-25,-21,12
28/08/2020,West Java,526,2,-17,9,6,-28,-20,13
29/08/2020,West Java,287,0,-18,9,9,-26,-9,9
30/08/2020,West Java,103,0,-19,8,11,-25,3,8
31/08/2020,West Java,145,8,-16,9,7,-27,-21,12
01/09/2020,West Java,215,2,-15,14,7,-25,-22,12
02/09/2020,West Java,203,1,-15,11,8,-25,-22,12
03/09/2020,West Java,238,4,-13,13,7,-25,-23,12
04/09/2020,West Java,385,1,-16,8,6,-30,-22,14
05/09/2020,West Java,228,0,-17,10,13,-27,-12,10
06/09/2020,West Java,173,0,-17,8,15,-25,0,8
07/09/2020,West Java,204,0,-16,7,9,-28,-23,13
08/09/2020,West Java,336,2,-16,8,7,-27,-23,13
09/09/2020,West Java,288,3,-16,8,10,-27,-22,12
10/09/2020,West Java,335,0,-15,10,8,-26,-23,12
11/09/2020,West Java,272,7,-16,4,7,-30,-22,13
12/09/2020,West Java,291,1,-18,5,9,-29,-11,9
13/09/2020,West Java,157,5,-21,1,7,-27,0,9
14/09/2020,West Java,203,0,-21,-2,1,-38,-23,15
15/09/2020,West Java,347,6,-22,-2,-2,-37,-24,15
16/09/2020,West Java,293,1,-17,5,4,-34,-24,15
17/09/2020,West Java,353,3,-18,4,1,-35,-24,15
18/09/2020,West Java,341,2,-21,-1,-1,-39,-23,17
19/09/2020,West Java,470,0,-22,0,-1,-38,-11,13
20/09/2020,West Java,427,6,-31,-10,-12,-42,-3,14
21/09/2020,West Java,680,2,-24,-6,-7,-38,-25,16
22/09/2020,West Java,575,11,-28,-8,-11,-37,-27,17
23/09/2020,West Java,516,13,-24,-2,-2,-34,-25,16
24/09/2020,West Java,804,12,-24,-2,-3,-33,-26,16
25/09/2020,West Java,734,13,-24,0,-3,-36,-24,18
26/09/2020,West Java,386,18,-25,1,-4,-34,-12,13
27/09/2020,West Java,437,1,-31,-7,-8,-35,-4,14
28/09/2020,West Java,489,3,-24,0,-3,-32,-25,16
29/09/2020,West Java,316,15,-24,0,-3,-30,-26,16
30/09/2020,West Java,446,15,-20,9,3,-28,-26,14
01/10/2020,West Java,559,15,-19,15,3,-27,-26,11
02/10/2020,West Java,544,15,-20,7,3,-31,-25,12
03/10/2020,West Java,343,15,-22,8,-1,-28,-17,9
04/10/2020,West Java,248,15,-22,5,7,-26,-8,7
05/10/2020,West Java,503,15,-21,5,4,-28,-27,11
06/10/2020,West Java,508,16,-22,3,2,-29,-28,12
07/10/2020,West Java,752,13,-19,7,7,-28,-26,12
08/10/2020,West Java,597,3,-20,6,5,-27,-26,14
09/10/2020,West Java,504,2,-22,1,-1,-34,-24,16
10/10/2020,West Java,268,1,-24,2,-4,-31,-12,12
11/10/2020,West Java,205,0,-22,3,6,-28,-2,10
12/10/2020,West Java,286,9,-21,2,3,-30,-24,14
13/10/2020,West Java,565,0,-22,0,-1,-32,-25,15
14/10/2020,West Java,442,13,-18,4,4,-28,-23,14
15/10/2020,West Java,590,7,-18,9,3,-26,-23,15
16/10/2020,West Java,424,0,-25,-4,-6,-33,-23,17
17/10/2020,West Java,500,0,-21,7,0,-26,-11,12
18/10/2020,West Java,211,0,-22,3,4,-25,-3,11
19/10/2020,West Java,524,21,-25,-2,-6,-29,-23,15
20/10/2020,West Java,472,20,-25,-2,-8,-28,-25,15
21/10/2020,West Java,657,16,-25,-4,-8,-28,-25,14
22/10/2020,West Java,736,23,-19,7,-3,-25,-25,11
23/10/2020,West Java,504,10,-20,4,-3,-29,-23,12
24/10/2020,West Java,421,19,-23,2,-6,-25,-13,8
25/10/2020,West Java,356,11,-23,2,-2,-23,-5,7
26/10/2020,West Java,431,15,-23,0,-6,-27,-24,11
27/10/2020,West Java,390,14,-20,6,-5,-18,-25,10
28/10/2020,West Java,403,6,-5,21,21,-3,-37,10
29/10/2020,West Java,459,0,2,22,50,-6,-58,14
30/10/2020,West Java,320,4,-12,6,21,-26,-41,14
31/10/2020,West Java,411,1,-24,-4,0,-19,-18,9
01/11/2020,West Java,245,2,-19,5,3,-7,-7,6
02/11/2020,West Java,341,11,-17,6,-1,-19,-24,10
03/11/2020,West Java,484,5,-15,8,-1,-22,-24,10
04/11/2020,West Java,516,15,-14,7,1,-22,-24,10
05/11/2020,West Java,627,9,-17,6,-7,-24,-26,11
06/11/2020,West Java,587,0,-16,4,-1,-27,-23,11
07/11/2020,West Java,476,0,-17,4,0,-21,-14,7
08/11/2020,West Java,479,1,-18,3,5,-20,-7,7
09/11/2020,West Java,330,2,-19,2,-1,-25,-24,10
10/11/2020,West Java,748,5,-18,3,-5,-26,-25,10
11/11/2020,West Java,668,5,-15,7,0,-24,-24,10
12/11/2020,West Java,733,21,-15,8,-2,-23,-24,10
13/11/2020,West Java,801,7,-17,3,-2,-27,-23,11
14/11/2020,West Java,809,2,-19,1,-4,-24,-13,8
15/11/2020,West Java,309,0,-16,4,8,-19,-5,6
16/11/2020,West Java,558,23,-19,1,-3,-26,-24,10
17/11/2020,West Java,648,23,-19,2,-4,-26,-25,10
18/11/2020,West Java,365,4,-17,4,-1,-24,-24,10
19/11/2020,West Java,394,9,-16,6,-3,-24,-24,10
20/11/2020,West Java,872,2,-18,1,-6,-28,-23,12
21/11/2020,West Java,364,0,-20,1,-6,-25,-13,8
22/11/2020,West Java,372,1,-20,-1,-1,-23,-7,7
23/11/2020,West Java,602,2,-22,-4,-9,-28,-24,11
24/11/2020,West Java,299,4,-24,-5,-13,-28,-25,11
25/11/2020,West Java,741,6,-17,7,-4,-23,-24,10
26/11/2020,West Java,776,4,-12,13,1,-21,-24,9
27/11/2020,West Java,699,5,-17,3,-3,-26,-23,11
28/11/2020,West Java,367,5,-17,6,-5,-21,-12,7
29/11/2020,West Java,228,6,-17,4,2,-18,-5,7
30/11/2020,West Java,741,11,-18,6,-8,-25,-23,10
01/12/2020,West Java,878,13,-15,12,-6,-24,-24,10
02/12/2020,West Java,764,4,-12,13,0,-22,-23,10
03/12/2020,West Java,1648,21,-12,13,-2,-23,-24,11
04/12/2020,West Java,992,4,-16,5,-6,-27,-23,11
05/12/2020,West Java,1086,4,-16,8,-6,-22,-12,7
06/12/2020,West Java,1388,7,-26,-6,-19,-26,-10,10
07/12/2020,West Java,1171,9,-19,3,-6,-27,-26,11
08/12/2020,West Java,731,6,-16,8,-2,-23,-24,9
09/12/2020,West Java,908,16,-9,9,9,-29,-55,18
10/12/2020,West Java,960,32,-14,11,0,-19,-22,12
11/12/2020,West Java,1029,21,-16,6,-1,-24,-21,14
12/12/2020,West Java,1283,6,-18,8,-2,-19,-9,10
13/12/2020,West Java,855,5,-21,0,-3,-18,-1,11
14/12/2020,West Java,600,15,-19,0,-2,-22,-22,14
15/12/2020,West Java,1256,8,-18,4,-2,-20,-23,14
16/12/2020,West Java,1434,1,-15,7,3,-18,-22,13
17/12/2020,West Java,1277,11,-13,11,5,-16,-22,13
18/12/2020,West Java,987,1,-16,5,2,-22,-21,14
19/12/2020,West Java,1132,1,-17,8,2,-18,-7,10
20/12/2020,West Java,1052,1,-19,3,4,-16,0,10
21/12/2020,West Java,716,4,-16,5,4,-20,-24,13
22/12/2020,West Java,925,3,-15,7,5,-16,-25,13
23/12/2020,West Java,903,2,-10,14,13,-6,-25,12
24/12/2020,West Java,702,10,-7,19,21,-5,-42,16
25/12/2020,West Java,903,0,-12,8,25,-27,-58,21
26/12/2020,West Java,601,0,-20,4,8,-26,-21,12
27/12/2020,West Java,892,43,-21,0,6,-18,-1,10
28/12/2020,West Java,403,0,-14,8,11,-21,-29,14
29/12/2020,West Java,1329,2,-16,6,6,-20,-31,15
30/12/2020,West Java,1233,2,-10,15,15,-12,-31,14
31/12/2020,West Java,1024,11,0,37,41,-7,-47,14
01/01/2021,West Java,1504,3,-20,1,37,-37,-67,22
02/01/2021,West Java,1167,1,-20,7,20,-24,-29,12
03/01/2021,West Java,1232,2,-27,-4,6,-16,-6,11
04/01/2021,West Java,1079,2,-18,7,6,-19,-25,14
05/01/2021,West Java,1100,8,-18,9,4,-22,-25,14
06/01/2021,West Java,1470,11,-16,6,3,-24,-24,14
07/01/2021,West Java,1416,2,-13,12,6,-23,-25,14
08/01/2021,West Java,1824,4,-19,2,-3,-30,-23,15
09/01/2021,West Java,1731,6,-30,-8,-17,-33,-13,12
10/01/2021,West Java,1468,8,-20,5,-2,-25,-3,10
11/01/2021,West Java,1475,11,-20,1,-3,-31,-25,14
12/01/2021,West Java,1540,15,-24,-5,-11,-32,-27,15
13/01/2021,West Java,1755,11,-22,-3,-7,-32,-28,13
14/01/2021,West Java,2201,11,-25,-8,-14,-37,-33,12
15/01/2021,West Java,3095,27,-28,-14,-16,-44,-34,13
16/01/2021,West Java,3460,42,-34,-17,-25,-45,-25,10
17/01/2021,West Java,1491,11,-31,-14,-17,-42,-16,10
18/01/2021,West Java,1485,28,-31,-17,-21,-42,-34,14
19/01/2021,West Java,1684,24,-30,-15,-20,-40,-35,14
20/01/2021,West Java,1814,13,-28,-12,-19,-39,-33,15
21/01/2021,West Java,1228,73,-29,-12,-20,-39,-33,15
22/01/2021,West Java,2441,8,-29,-15,-19,-42,-31,16
23/01/2021,West Java,1809,16,-30,-11,-23,-42,-19,11
24/01/2021,West Java,2328,8,-34,-17,-25,-43,-13,13
25/01/2021,West Java,2022,2,-28,-12,-18,-38,-30,14
26/01/2021,West Java,3924,13,-27,-10,-18,-36,-31,14
27/01/2021,West Java,3198,106,-24,-6,-15,-34,-30,14
28/01/2021,West Java,4532,200,-21,-1,-14,-32,-30,13
29/01/2021,West Java,3835,5,-25,-6,-18,-36,-29,14
30/01/2021,West Java,4601,27,-28,-4,-27,-35,-18,9
31/01/2021,West Java,2848,62,-23,1,-20,-30,-8,8
01/02/2021,West Java,2966,5,-24,-2,-17,-33,-29,11
02/02/2021,West Java,2068,48,-22,2,-17,-31,-30,11
03/02/2021,West Java,2241,10,-23,-3,-18,-32,-30,12
04/02/2021,West Java,2020,10,-23,-3,-20,-31,-31,11
05/02/2021,West Java,2117,28,-20,1,-15,-34,-29,11
06/02/2021,West Java,3971,4,-24,-1,-22,-34,-20,8
07/02/2021,West Java,1988,2,-34,-16,-34,-38,-16,10
08/02/2021,West Java,1500,12,-25,-7,-20,-32,-32,11
09/02/2021,West Java,775,17,-21,0,-16,-29,-31,10
10/02/2021,West Java,660,16,-18,2,-14,-27,-29,10
11/02/2021,West Java,1059,18,-13,9,-7,-18,-29,8
12/02/2021,West Java,683,5,-14,3,4,-36,-60,17
13/02/2021,West Java,1737,2,-23,-1,-11,-37,-25,8
14/02/2021,West Java,882,4,-26,-5,-16,-30,-12,7
15/02/2021,West Java,947,5,-22,-3,-15,-29,-29,10
16/02/2021,West Java,4032,14,-23,-3,-17,-31,-30,10
17/02/2021,West Java,4124,3,-20,1,-15,-29,-28,10
18/02/2021,West Java,4420,9,-26,-7,-23,-32,-29,11
19/02/2021,West Java,3847,25,-23,-2,-18,-36,-29,12
20/02/2021,West Java,975,5,-28,-4,-24,-38,-21,9
21/02/2021,West Java,1021,4,-26,-3,-19,-35,-11,7
22/02/2021,West Java,3812,16,-23,-3,-14,-32,-28,9
23/02/2021,West Java,4334,23,-23,-2,-16,-31,-28,10
24/02/2021,West Java,2191,7,-21,-1,-15,-30,-27,10
25/02/2021,West Java,2546,73,-17,9,-13,-27,-27,10
26/02/2021,West Java,2314,7,-16,9,-12,-30,-25,10
27/02/2021,West Java,876,5,-14,15,-10,-26,-14,5
28/02/2021,West Java,770,51,-17,10,-8,-24,-6,5
01/03/2021,West Java,1662,4,-17,8,-10,-27,-26,8
02/03/2021,West Java,1654,49,-17,9,-12,-25,-27,9
03/03/2021,West Java,1895,49,-15,9,-10,-25,-26,9
04/03/2021,West Java,1731,45,-18,5,-13,-25,-27,9
05/03/2021,West Java,1786,7,-17,6,-10,-28,-25,10
06/03/2021,West Java,1094,1,-19,6,-14,-24,-15,6
07/03/2021,West Java,1366,2,-20,3,-10,-24,-10,6
08/03/2021,West Java,1739,72,-19,3,-13,-26,-27,9
